GeneID,adj.P.Val,pvalue,lfcSE,stat,logFC,baseMean,Gene.symbol,Description
55872,7.01E-27,3.23E-31,0.453,-11.6208785,-5.26,104.54,PBK,PDZ binding kinase
4320,1.78E-22,1.64E-26,0.483,-10.6557444,-5.15,1804.28,MMP11,matrix metallopeptidase 11
699,5.97E-21,8.25E-25,0.4335,-10.2848187,-4.46,229.17,BUB1,BUB1 mitotic checkpoint serine/threonine kinase
157570,7.03E-21,1.29E-24,0.4065,-10.2414039,-4.16,103.66,ESCO2,establishment of sister chromatid cohesion N-acetyltransferase 2
55635,9.84E-21,2.27E-24,0.4582,-10.1870348,-4.67,143.44,DEPDC1,DEP domain containing 1
24137,1.08E-20,2.98E-24,0.4471,-10.1601918,-4.54,161.47,KIF4A,kinesin family member 4A
983,1.81E-20,5.82E-24,0.3878,-10.0948794,-3.92,417.28,CDK1,cyclin dependent kinase 1
105376718,2.21E-20,8.13E-24,0.305,10.0620515,3.07,58.88,LOC105376718,uncharacterized LOC105376718
221150,2.62E-19,1.20E-22,0.4338,-9.7931743,-4.25,59.28,SKA3,spindle and kinetochore associated complex subunit 3
57082,2.62E-19,1.20E-22,0.4143,-9.7932261,-4.06,310.35,KNL1,kinetochore scaffold 1
6241,2.63E-19,1.33E-22,0.518,-9.783134,-5.07,484.42,RRM2,ribonucleotide reductase regulatory subunit M2
29128,1.61E-18,8.89E-22,0.3486,-9.5890406,-3.34,294.52,UHRF1,ubiquitin like with PHD and ring finger domains 1
51203,2.48E-18,1.48E-21,0.3738,-9.5361336,-3.57,219.42,NUSAP1,nucleolar and spindle associated protein 1
8351,7.13E-18,4.60E-21,0.2949,-9.4180123,-2.78,653.88,H3C4,H3 clustered histone 4
3204,7.57E-18,5.23E-21,0.26,9.4044543,2.45,50.48,HOXA7,homeobox A7
338328,9.68E-18,7.13E-21,0.4424,9.3718142,4.15,477.85,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
3832,1.30E-17,1.02E-20,0.328,-9.3341787,-3.06,347.05,KIF11,kinesin family member 11
1469,1.60E-17,1.32E-20,1.1526,-9.3062241,-1.07E+01,162.1,CST1,cystatin SN
8348,1.97E-17,1.81E-20,0.4428,-9.2729089,-4.11,212.26,H2BC17,H2B clustered histone 17
51378,1.97E-17,1.73E-20,0.4638,9.2775833,4.3,152.68,ANGPT4,angiopoietin 4
1063,3.36E-17,3.25E-20,0.3778,-9.2104904,-3.48,709.81,CENPF,centromere protein F
